,METHOD_TO_METHOD,IMPORT,INHERITANCE,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.collect.ArrayListMultimap,29,6,1,0,0,
com.google.common.collect.MultimapBuilder,27,30,5,0,0,
com.google.common.graph.MultiEdgesConnecting,2,2,1,0,0,
com.google.common.collect.HashBasedTable,25,5,2,0,0,
com.google.common.collect.Collections2,45,28,2,4,0,
com.google.common.graph.EndpointPairIterator,10,8,1,1,0,
com.google.common.collect.PeekingIterator,0,0,0,0,0,
com.google.common.base.JdkPattern,2,4,2,0,0,
com.google.common.graph.MapIteratorCache,6,2,1,0,0,
com.google.common.collect.FilteredKeyListMultimap,4,2,2,0,0,
com.google.common.collect.ForwardingNavigableSet,6,4,2,0,0,
com.google.common.math.IntMath,29,4,0,0,0,
com.google.common.util.concurrent.OverflowAvoidingLockSupport,0,0,0,0,0,
com.google.common.base.FinalizableWeakReference,1,2,1,0,0,
com.google.common.base.internal.Finalizer,0,0,0,0,0,
com.google.common.collect.ForwardingImmutableSet,0,0,0,0,0,
com.google.common.graph.Network,0,0,0,0,0,
com.google.common.collect.Platform,8,4,0,0,0,
com.google.common.collect.NullsLastOrdering,4,1,1,1,0,
com.google.common.collect.RegularImmutableMultiset,16,15,2,6,0,
com.google.common.util.concurrent.CollectionFuture,6,5,1,0,0,
com.google.common.collect.RegularImmutableMap,17,13,3,4,0,
com.google.common.collect.RegularImmutableBiMap,27,23,4,4,0,
com.google.common.graph.AbstractGraph,11,2,2,0,0,
com.google.common.collect.ForwardingImmutableCollection,0,0,0,0,0,
com.google.common.math.Quantiles,9,8,0,0,0,
com.google.common.collect.AbstractSortedMultiset,13,12,3,1,0,
com.google.common.eventbus.package-info,0,0,0,0,0,
com.google.common.io.ByteSink,14,5,1,0,0,
com.google.common.collect.AbstractSortedKeySortedSetMultimap,3,1,1,0,0,
com.google.common.collect.ForwardingMapEntry,2,2,1,0,0,
com.google.common.cache.CacheBuilderSpec,69,30,0,3,0,
com.google.common.graph.ForwardingGraph,15,2,1,0,0,
com.google.common.base.Joiner,8,3,0,0,0,
com.google.common.collect.NullsFirstOrdering,4,1,1,1,0,
com.google.common.graph.StandardMutableGraph,8,7,2,1,0,
com.google.common.net.InternetDomainName,48,9,0,8,0,
com.google.common.net.HostSpecifier,9,4,0,0,0,
com.google.common.primitives.Chars,21,2,0,0,0,
com.google.common.cache.LongAdder,1,3,2,0,0,
com.google.common.util.concurrent.AsyncCallable,0,0,0,0,0,
com.google.common.hash.MessageDigestHashFunction,6,5,2,0,0,
com.google.common.base.Strings,11,2,0,0,0,
com.google.common.collect.AbstractMapBasedMultimap,29,30,4,0,0,
com.google.common.collect.StandardRowSortedTable,6,7,3,0,0,
com.google.common.util.concurrent.Runnables,0,0,0,0,0,
com.google.common.escape.UnicodeEscaper,3,3,1,0,0,
com.google.common.collect.DiscreteDomain,6,6,0,0,0,
com.google.common.util.concurrent.Atomics,0,0,0,0,0,
com.google.common.hash.LittleEndianByteArray,0,0,0,0,0,
com.google.common.collect.Count,0,0,0,0,0,
com.google.common.util.concurrent.AbstractCatchingFuture,14,12,1,1,0,
com.google.common.collect.Cut,15,10,0,0,0,
com.google.common.base.Functions,19,17,6,4,0,
com.google.common.io.ReaderInputStream,12,3,0,0,0,
com.google.common.base.Absent,6,3,1,0,0,
com.google.common.util.concurrent.Callables,9,5,1,3,0,
com.google.common.math.DoubleUtils,2,1,0,0,0,
com.google.common.io.Resources,10,8,2,0,0,
com.google.common.graph.StandardMutableNetwork,37,12,2,0,0,
com.google.common.base.Throwables,5,1,0,0,0,
com.google.common.collect.JdkBackedImmutableMap,6,9,1,1,0,
com.google.common.graph.MapRetrievalCache,3,2,1,0,0,
com.google.common.net.HostAndPort,16,3,0,0,0,
com.google.common.util.concurrent.FutureCallback,0,0,0,0,0,
com.google.common.collect.TreeBasedTable,39,13,5,0,0,
com.google.common.util.concurrent.Service,0,0,0,0,0,
com.google.common.cache.ForwardingCache,13,4,2,1,0,
com.google.common.util.concurrent.Platform,0,0,0,0,0,
com.google.common.cache.RemovalListeners,3,3,1,2,0,
com.google.common.graph.Traverser,17,13,2,7,0,
com.google.common.collect.StandardTable,63,59,16,1,0,
com.google.common.util.concurrent.Monitor,11,4,0,0,0,
com.google.common.collect.ImmutableSortedSetFauxverideShim,0,3,1,0,0,
com.google.common.collect.ImmutableMapValues,15,12,3,4,0,
com.google.common.collect.ImmutableEntry,0,1,1,0,0,
com.google.common.collect.EmptyImmutableSetMultimap,1,2,1,0,0,
com.google.common.util.concurrent.SimpleTimeLimiter,21,8,1,0,0,
com.google.common.util.concurrent.CycleDetectingLockFactory,20,12,0,1,0,
com.google.common.collect.AbstractNavigableMap,8,6,2,0,0,
com.google.common.collect.ImmutableEnumMap,7,7,1,0,0,
com.google.common.collect.ImmutableCollection,6,7,0,0,0,
com.google.common.util.concurrent.SmoothRateLimiter,1,7,1,0,0,
com.google.common.graph.EndpointPair,6,6,0,0,0,
com.google.common.graph.ValueGraphBuilder,11,10,1,0,0,
com.google.common.graph.GraphConstants,0,0,0,0,0,
com.google.common.io.Java8Compatibility,0,0,0,0,0,
com.google.common.collect.ImmutableSetMultimap,40,24,4,3,0,
com.google.common.hash.AbstractStreamingHasher,8,3,1,0,0,
com.google.common.cache.ReferenceEntry,0,0,0,0,0,
com.google.common.collect.IndexedImmutableSet,4,5,2,0,0,
com.google.common.escape.ArrayBasedCharEscaper,4,3,1,0,0,
com.google.common.graph.NetworkConnections,0,0,0,0,0,
com.google.common.util.concurrent.ForwardingListeningExecutorService,3,2,2,0,0,
com.google.common.graph.MutableGraph,0,0,0,0,0,
com.google.common.collect.AbstractMapBasedMultiset,28,21,2,0,0,
com.google.common.reflect.Reflection,2,1,0,0,0,
com.google.common.math.package-info,0,0,0,0,0,
com.google.common.collect.Interner,0,0,0,0,0,
com.google.common.collect.CartesianList,20,6,1,1,0,
com.google.common.collect.TreeRangeMap,93,45,10,3,0,
com.google.common.collect.ForwardingSet,4,3,1,0,0,
com.google.common.reflect.Invokable,16,6,0,0,0,
com.google.common.hash.HashFunction,0,0,0,0,0,
com.google.common.hash.ChecksumHashFunction,7,6,2,1,0,
com.google.common.util.concurrent.ListenableFuture,0,0,0,0,0,
com.google.common.collect.EnumBiMap,18,4,1,0,0,
com.google.common.collect.Multiset,0,0,0,0,0,
com.google.common.escape.Platform,0,0,0,0,0,
com.google.common.base.Supplier,0,0,0,0,0,
com.google.common.collect.ImmutableSortedMultisetFauxverideShim,0,3,1,0,0,
com.google.common.collect.EmptyImmutableListMultimap,1,2,1,0,0,
com.google.common.util.concurrent.JdkFutureAdapters,10,9,2,1,0,
com.google.common.graph.Graphs,148,29,5,3,0,
com.google.common.eventbus.EventBus,22,10,1,3,0,
com.google.common.graph.StandardMutableValueGraph,39,12,2,1,0,
com.google.common.collect.ImmutableList,28,17,3,0,0,
com.google.common.collect.ReverseOrdering,10,2,1,1,0,
com.google.common.escape.Escapers,8,9,3,2,0,
com.google.common.eventbus.SubscriberRegistry,40,24,2,3,0,
com.google.common.collect.Synchronized,76,24,12,2,0,
com.google.common.io.CharSource,81,27,2,1,0,
com.google.common.io.Flushables,0,0,0,0,0,
com.google.common.hash.LongAddables,1,7,3,1,0,
com.google.common.collect.NullnessCasts,0,0,0,0,0,
com.google.common.collect.SortedMultisetBridge,0,0,0,0,0,
com.google.common.hash.HashingOutputStream,6,3,0,1,0,
com.google.common.math.PairedStatsAccumulator,49,7,0,2,0,
com.google.common.hash.BloomFilter,28,7,1,2,0,
com.google.common.collect.ForwardingList,7,2,1,0,0,
com.google.common.primitives.DoublesMethodsForWeb,0,0,0,0,0,
com.google.common.primitives.UnsignedLongs,13,3,0,0,0,
com.google.common.cache.LongAddable,0,0,0,0,0,
com.google.common.collect.CompactLinkedHashSet,9,2,1,0,0,
com.google.common.hash.Java8Compatibility,0,0,0,0,0,
com.google.common.io.LineProcessor,0,0,0,0,0,
com.google.common.graph.BaseGraph,0,0,0,0,0,
com.google.common.collect.HashBiMap,40,28,9,1,0,
com.google.common.util.concurrent.CombinedFuture,6,8,2,1,0,
com.google.common.collect.Ordering,15,20,0,0,0,
com.google.common.collect.ForwardingMultimap,20,2,2,0,0,
com.google.common.io.LineReader,5,5,1,1,0,
com.google.common.math.Stats,55,7,0,0,0,
com.google.common.graph.MutableNetwork,0,0,0,0,0,
com.google.common.collect.RegularImmutableTable,23,15,3,0,0,
com.google.common.collect.MapMakerInternalMap,47,25,2,3,0,
com.google.common.collect.EnumMultiset,20,16,2,0,0,
com.google.common.math.ToDoubleRounder,7,3,0,0,0,
com.google.common.collect.ForwardingSortedMultiset,25,8,4,0,0,
com.google.common.collect.AllEqualOrdering,2,3,1,0,0,
com.google.common.collect.Hashing,0,1,0,0,0,
com.google.common.graph.ImmutableGraph,35,19,1,2,0,
com.google.common.hash.HashingInputStream,6,3,0,1,0,
com.google.common.graph.EdgesConnecting,5,4,0,0,0,
com.google.common.collect.RegularImmutableSortedMultiset,16,10,1,2,0,
com.google.common.util.concurrent.GwtFluentFutureCatchingSpecialization,0,1,1,0,0,
com.google.common.collect.ImmutableRangeMap,75,30,2,5,0,
com.google.common.collect.SortedMultiset,0,0,0,0,0,
com.google.common.collect.SparseImmutableTable,40,11,1,3,0,
com.google.common.hash.AbstractNonStreamingHashFunction,3,4,2,0,0,
com.google.common.collect.FluentIterable,46,18,2,1,0,
com.google.common.collect.ForwardingImmutableMap,0,0,0,0,0,
com.google.common.base.Optional,4,5,1,0,0,
com.google.common.io.Closeables,0,0,0,0,0,
com.google.common.reflect.ClassPath,61,17,1,2,0,
com.google.common.collect.DescendingImmutableSortedMultiset,15,6,1,1,0,
com.google.common.collect.LinkedHashMultimap,40,14,3,0,0,
com.google.common.reflect.TypeParameter,1,2,1,0,0,
com.google.common.collect.BaseImmutableMultimap,0,1,1,0,0,
com.google.common.collect.Range,73,10,5,3,0,
com.google.common.cache.AbstractCache,33,6,1,6,0,
com.google.common.util.concurrent.ForwardingListenableFuture,2,4,2,1,0,
com.google.common.collect.SortedMapDifference,0,0,0,0,0,
com.google.common.collect.RegularImmutableSet,3,5,1,0,0,
com.google.common.collect.FilteredEntrySetMultimap,6,4,2,0,0,
com.google.common.graph.ValueGraph,0,0,0,0,0,
com.google.common.collect.ForwardingSortedSet,2,2,1,0,0,
com.google.common.collect.LexicographicalOrdering,0,1,1,0,0,
com.google.common.collect.ImmutableListMultimap,32,15,3,0,0,
com.google.common.collect.FilteredSetMultimap,0,0,0,0,0,
com.google.common.collect.TopKSelector,9,3,0,0,0,
com.google.common.io.FileBackedOutputStream,0,2,2,1,0,
com.google.common.cache.CacheStats,31,5,0,0,0,
com.google.common.collect.LinkedHashMultimapGwtSerializationDependencies,0,1,1,0,0,
com.google.common.collect.Iterables,83,42,11,2,0,
com.google.common.collect.ContiguousSet,34,10,1,1,0,
com.google.common.collect.ImmutableAsList,5,3,1,1,0,
com.google.common.util.concurrent.AtomicDouble,0,0,0,0,0,
com.google.common.escape.CharEscaperBuilder,2,2,1,0,0,
com.google.common.io.CountingOutputStream,1,1,0,0,0,
com.google.common.base.FinalizableReferenceQueue,1,1,0,0,0,
com.google.common.collect.RegularImmutableAsList,8,2,1,2,0,
com.google.common.collect.SingletonImmutableSet,3,4,1,0,0,
com.google.common.collect.ImmutableMapEntrySet,11,5,1,3,0,
com.google.common.collect.Multimaps,140,107,21,10,0,
com.google.common.collect.ClassToInstanceMap,0,0,0,0,0,
com.google.common.base.PatternCompiler,0,0,0,0,0,
com.google.common.util.concurrent.ForwardingExecutorService,0,1,1,0,0,
com.google.common.collect.ImmutableMultiset,52,32,6,4,0,
com.google.common.util.concurrent.AbstractListeningExecutorService,2,3,1,0,0,
com.google.common.xml.package-info,0,0,0,0,0,
com.google.common.util.concurrent.UncheckedTimeoutException,0,0,0,0,0,
com.google.common.hash.PrimitiveSink,0,0,0,0,0,
com.google.common.primitives.ImmutableLongArray,8,3,0,0,0,
com.google.common.hash.Hasher,0,0,0,0,0,
com.google.common.io.ByteSource,105,27,1,0,0,
com.google.common.util.concurrent.ListeningScheduledExecutorService,0,0,0,0,0,
com.google.common.collect.ImmutableSortedMap,72,25,5,2,0,
com.google.common.primitives.UnsignedBytes,12,1,0,0,0,
com.google.common.util.concurrent.ForwardingBlockingQueue,0,1,1,0,0,
com.google.common.collect.RangeGwtSerializationDependencies,0,0,0,0,0,
com.google.common.graph.PredecessorsFunction,0,0,0,0,0,
com.google.common.collect.ObjectArrays,3,2,0,0,0,
com.google.common.graph.DirectedNetworkConnections,7,6,1,0,0,
com.google.common.io.BaseEncoding,53,16,2,2,0,
com.google.common.collect.ForwardingSetMultimap,4,2,2,0,0,
com.google.common.collect.AbstractIterator,3,3,1,0,0,
com.google.common.base.MoreObjects,4,2,0,0,0,
com.google.common.collect.ForwardingNavigableMap,8,8,3,0,0,
com.google.common.collect.MutableClassToInstanceMap,6,8,5,0,0,
com.google.common.util.concurrent.Futures,57,34,3,6,0,
com.google.common.collect.SortedIterable,0,0,0,0,0,
com.google.common.io.MoreFiles,21,19,6,1,0,
com.google.common.graph.AbstractGraphBuilder,3,2,0,3,0,
com.google.common.collect.RangeMap,0,0,0,0,0,
com.google.common.cache.RemovalListener,0,0,0,0,0,
com.google.common.base.FinalizablePhantomReference,1,2,1,0,0,
com.google.common.io.MultiInputStream,3,2,0,0,0,
com.google.common.collect.UnmodifiableIterator,0,0,0,0,0,
com.google.common.util.concurrent.ExecutionSequencer,21,14,2,5,0,
com.google.common.net.InetAddresses,31,10,0,2,0,
com.google.common.collect.ImmutableSortedMultiset,53,26,3,0,0,
com.google.common.graph.ElementOrder,13,6,0,0,0,
com.google.common.io.package-info,0,0,0,0,0,
com.google.common.hash.package-info,0,0,0,0,0,
com.google.common.graph.DirectedMultiNetworkConnections,19,8,2,0,0,
com.google.common.io.AppendableWriter,3,1,0,0,0,
com.google.common.util.concurrent.Internal,0,0,0,0,0,
com.google.common.collect.ImmutableEnumSet,4,3,1,0,0,
com.google.common.collect.ArrayTable,74,27,7,5,0,
com.google.common.collect.HashMultiset,20,5,1,0,0,
com.google.common.util.concurrent.AbstractService,52,52,10,14,0,
com.google.common.base.SmallCharMatcher,0,2,1,0,0,
com.google.common.collect.SingletonImmutableList,5,3,1,0,0,
com.google.common.base.Converter,13,6,1,2,0,
com.google.common.collect.LinkedListMultimap,26,19,5,0,0,
com.google.common.collect.AbstractSetMultimap,7,3,2,0,0,
com.google.common.collect.HashMultimapGwtSerializationDependencies,0,1,1,0,0,
com.google.common.base.Function,0,0,0,0,0,
com.google.common.primitives.Floats,19,6,2,0,0,
com.google.common.base.NullnessCasts,0,0,0,0,0,
com.google.common.collect.ImmutableMap,43,30,4,5,0,
com.google.common.collect.JdkBackedImmutableBiMap,8,9,2,1,0,
com.google.common.collect.MoreCollectors,1,1,0,0,0,
com.google.common.collect.Streams,35,7,0,0,0,
com.google.common.primitives.Bytes,12,2,0,0,0,
com.google.common.math.BigIntegerMath,25,9,1,0,0,
com.google.common.graph.GraphBuilder,11,10,1,0,0,
com.google.common.util.concurrent.ForwardingFuture,1,2,1,0,0,
com.google.common.util.concurrent.TimeLimiter,0,0,0,0,0,
com.google.common.collect.ImmutableSortedMapFauxverideShim,0,3,1,0,0,
com.google.common.primitives.ImmutableDoubleArray,8,3,0,0,0,
com.google.common.collect.ForwardingMap,8,11,4,0,0,
com.google.common.collect.ForwardingListMultimap,3,2,2,0,0,
com.google.common.collect.CompactHashSet,43,8,0,0,0,
com.google.common.collect.ExplicitOrdering,5,4,1,1,0,
com.google.common.io.LittleEndianDataOutputStream,2,2,0,0,0,
com.google.common.primitives.Doubles,19,5,2,0,0,
com.google.common.cache.CacheBuilder,61,24,3,10,0,
com.google.common.math.PairedStats,40,7,0,2,0,
com.google.common.util.concurrent.ThreadFactoryBuilder,4,1,0,0,0,
com.google.common.collect.EnumHashBiMap,16,5,1,0,0,
com.google.common.collect.Comparators,8,4,0,0,0,
com.google.common.util.concurrent.NullnessCasts,0,0,0,0,0,
com.google.common.base.Stopwatch,8,3,0,1,0,
com.google.common.collect.AbstractMultiset,6,9,3,0,0,
com.google.common.io.LineBuffer,0,0,0,0,0,
com.google.common.primitives.Shorts,21,4,2,0,0,
com.google.common.collect.CompoundOrdering,1,2,1,0,0,
com.google.common.collect.Iterators,72,28,11,3,0,
com.google.common.collect.SortedMultisets,27,10,1,1,0,
com.google.common.hash.Murmur3_128HashFunction,15,5,2,2,0,
com.google.common.util.concurrent.AtomicDoubleArray,4,2,0,0,0,
com.google.common.util.concurrent.FakeTimeLimiter,7,4,1,0,0,
